04/27/2026-16:45:39.187666  [**] [1:2056027:2] ET WEB_SPECIFIC_APPS Wordpress LiteSpeed Cache Plugin debug.log Access Attempt (CVE-2024-44000) [**] [Classification: Successful Credential Theft Detected] [Priority: 1] {TCP} 172.16.10.1:37232 -> 172.16.10.3:80
04/27/2026-16:45:40.339891  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:37232
04/27/2026-16:45:41.222049  [**] [1:2016182:7] ET WEB_SERVER ColdFusion componentutils access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 172.16.10.1:37232 -> 172.16.10.3:80
04/27/2026-16:45:41.456287  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:37232
04/27/2026-16:45:44.042250  [**] [1:2031502:3] ET INFO Request to Hidden Environment File - Inbound [**] [Classification: Misc activity] [Priority: 3] {TCP} 172.16.10.1:36016 -> 172.16.10.3:80
04/27/2026-16:45:44.088784  [**] [1:2025756:3] ET EXPLOIT D-Link DSL-2750B - OS Command Injection [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 172.16.10.1:36016 -> 172.16.10.3:80
04/27/2026-16:45:44.088784  [**] [1:2049119:2] ET EXPLOIT D-Link DSL-2750B Command Injection Attempt (CVE-2016-20017) [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 172.16.10.1:36016 -> 172.16.10.3:80
04/27/2026-16:45:44.132417  [**] [1:2033089:2] ET EXPLOIT Cisco RV320/RV325 Config Disclosure Attempt Inbound (CVE-2019-1653) [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 172.16.10.1:36016 -> 172.16.10.3:80
04/27/2026-16:45:44.231382  [**] [1:2034005:1] ET EXPLOIT Fortinet FortiOS/FortiProxy SSL VPN Web Portal Path Traversal (CVE-2018-13379) [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 172.16.10.1:36016 -> 172.16.10.3:80
04/27/2026-16:45:44.249278  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:36018
